nx_id,lon,lat,hex_id,rx_idx
222119601,-96.138186,30.043979,89446d88633ffff,64
222119608,-96.153758,30.038848,89446d88477ffff,65
222119614,-96.152183,30.037693,89446d88463ffff,66
222120244,-96.32143,30.04565,89446d81d07ffff,67
222120437,-96.1863,30.04971,89446d885afffff,68
222123203,-96.282248,30.072781,89446d81b57ffff,69
222123207,-96.281778,30.074322,89446d81b43ffff,70
222123240,-96.283326,30.055442,89446d8184fffff,71
222123251,-96.281868,30.055493,89446d8184fffff,72
222125348,-96.32175,30.04853,89446d81d3bffff,73
222126900,-96.3224,30.05037,89446d81d23ffff,74
222127598,-96.3266273,30.0478639,89446d81d37ffff,75
222129792,-96.31866,30.04017,89446d81d13ffff,76
222129826,-96.32095,30.03912,89446d81d13ffff,77
222130371,-96.1525,30.039967,89446d88463ffff,78
222130375,-96.151213,30.038985,89446d88463ffff,79
222136172,-96.28752,30.07316,89446d81b1bffff,80
222136313,-96.25188,30.06986,89446d8a9afffff,81
222137784,-96.3272064,30.0481709,89446d81d37ffff,82
222137796,-96.32744,30.0478,89446d81d37ffff,83
222137802,-96.3279,30.04803,89446d81d37ffff,84
222137879,-96.25046,30.04276,89446d8ad17ffff,85
222137928,-96.2521102,30.0553959,89446d8ad2fffff,86
222137994,-96.25138,30.06767,89446d8a9abffff,87
222140344,-96.28677,30.07009,89446d81b1bffff,88
222141989,-96.28214,30.050368,89446d81843ffff,89
222142102,-96.28966,30.08199,89446d81b77ffff,90
222144232,-96.20917,30.04867,89446d8ae27ffff,91
222144398,-96.23663,30.06469,89446d8a957ffff,92
222144691,-96.18606,30.04709,89446d885afffff,93
222144727,-96.18371,30.04744,89446d885abffff,94
222145219,-96.18358,30.0296,89446d8a33bffff,95
222145311,-96.18083,30.03787,89446d88583ffff,96
222146960,-96.33369,30.05352,89446d80acfffff,97
222146969,-96.3334949,30.05361,89446d80acfffff,98
222146976,-96.3333325,30.0536617,89446d80acfffff,99
222146992,-96.32956,30.05426,89446d80a53ffff,100
222148468,-96.3272983,30.0482153,89446d81d37ffff,101
222148475,-96.3271011,30.0484616,89446d81d37ffff,102
222148494,-96.31724,30.03726,89446d81dc7ffff,103
222148522,-96.32041,30.03405,89446d81d9bffff,104
222150008,-96.1857,30.038431,89446d88597ffff,105
222150029,-96.18597,30.04542,89446d885a3ffff,106
222150124,-96.17981,30.06093,89446d88183ffff,107
222151294,-96.29354,30.02623,89446d81c1bffff,108
222151303,-96.29433,30.02761,89446d81c0bffff,109
222151587,-96.33169,30.06323,89446d80a7bffff,110
222157120,-96.31995,30.04341,89446d81d03ffff,111
222162828,-96.15073,30.04159,89446d8846fffff,112
222162858,-96.15729,30.0354,89446d8843bffff,113
222162948,-96.1744163,30.0358872,89446d885d7ffff,114
222163760,-96.33059,30.058809,89446d80a43ffff,115
222163788,-96.33182,30.062951,89446d80a7bffff,116
222163792,-96.33212,30.06312,89446d80a7bffff,117
