timestamp,vehicle_id,energy_delivered,charge_duration_minutes,total_depot_energy,chargers_in_use,vehicles_queued,energy_cost,datetime
60189.87825854561,33,62.49476392660431,14.998743342385033,2723.944204234286,5,52,10.1553991380732,2025-01-16 16:43:09.878259
60325.04483895522,93,62.335174650692025,14.960441916166086,2786.279378884978,5,51,10.129465880737454,2025-01-16 16:45:25.044839
60502.69778452395,14,62.90652896635369,15.097566951924886,2849.1859078513316,5,50,10.222310957032475,2025-01-16 16:48:22.697785
60631.119730157305,79,64.04773402867343,15.371456166881623,2913.233641880005,5,49,10.407756779659433,2025-01-16 16:50:31.119730
61079.84165198043,23,62.16871735609875,14.9204921654637,2975.4023592361036,5,48,10.102416570366048,2025-01-16 16:57:59.841652
61098.08155751492,69,63.069673539535636,15.136721649488551,3038.472032775639,5,47,10.248821950174541,2025-01-16 16:58:18.081558
61224.69253911588,80,62.47553473337933,14.99412833601104,3100.9475675090184,5,46,10.15227439417414,2025-01-16 17:00:24.692539
61387.15528000229,19,61.42065940821791,14.740958257972297,3162.3682269172364,5,45,9.98085715383541,2025-01-16 17:03:07.155280
61520.06570648957,40,61.732359467518336,14.815766272204401,3224.100586384755,5,44,10.03150841347173,2025-01-16 17:05:20.065706
61988.11253879972,98,63.07436714022849,15.137848113654837,3287.1749535249833,5,43,10.24958466028713,2025-01-16 17:13:08.112539
61990.50576762064,71,61.97390347956441,14.873736835095459,3349.1488570045476,5,42,10.070759315429218,2025-01-16 17:13:10.505768
62115.38245958821,13,61.85346669946732,14.844832007872157,3411.002323704015,5,41,10.05118833866344,2025-01-16 17:15:15.382460
62274.56103646686,46,61.62539975448404,14.79009594107617,3472.627723458499,5,40,10.014127460103657,2025-01-16 17:17:54.561036
62413.93184924979,67,62.07403769168173,14.897769046003615,3534.701761150181,5,39,10.087031124898282,2025-01-16 17:20:13.931849
62891.723011015936,88,62.750727237237115,15.060174536936907,3597.4524883874183,5,38,10.19699317605103,2025-01-16 17:28:11.723011
62892.04668155022,22,62.60700791177636,15.025681898826326,3660.0594962991945,5,37,10.173638785663659,2025-01-16 17:28:12.046682
62983.05045540054,2,60.2547219314116,14.461133263538786,3720.314218230606,5,36,9.791392313854386,2025-01-16 17:29:43.050455
63196.48417893472,72,64.02244044915665,15.365385707797595,3784.336658679763,5,35,10.403646572987956,2025-01-16 17:33:16.484179
63298.01207482056,94,61.39446010908128,14.734670426179507,3845.731118788844,5,34,9.976599767725709,2025-01-16 17:34:58.012075
63786.05660052285,78,62.08402215087645,14.900165316210348,3907.8151409397205,5,33,10.088653599517423,2025-01-16 17:43:06.056601
63808.56363348656,41,63.66948767157137,15.28067704117713,3971.484628611292,5,32,10.346291746630348,2025-01-16 17:43:28.563633
63890.37859527808,36,63.00889860260703,15.122135664625686,4034.493527213899,5,31,10.238946022923644,2025-01-16 17:44:50.378595
64083.067276085516,53,61.568270635471755,14.77638495251322,4096.061797849371,5,30,10.00484397826416,2025-01-16 17:48:03.067276
64187.50014805774,18,61.770005085915614,14.824801220619747,4157.831802935287,5,29,10.037625826461287,2025-01-16 17:49:47.500148
64685.81781281736,20,62.48341752045215,14.996020204908517,4220.315220455739,5,28,10.153555347073475,2025-01-16 17:58:05.817813
64738.228482771156,24,64.56005897809669,15.494414154743206,4284.875279433836,5,27,10.491009583940713,2025-01-16 17:58:58.228483
64809.39226135194,87,63.82039347735093,15.316894434564226,4348.695672911187,5,26,10.370813940069526,2025-01-16 18:00:09.392261
64979.65067135262,25,62.26273578243772,14.943056587785055,4410.958408693625,5,25,10.117694564646131,2025-01-16 18:02:59.650671
65078.802922126866,77,61.89602597702258,14.85504623448542,4472.854434670648,5,24,10.05810422126617,2025-01-16 18:04:38.802922
65578.39508514781,74,61.984532800726065,14.876287872174256,4534.8389674713735,5,23,10.072486580117985,2025-01-16 18:12:58.395085
65663.28710290455,11,64.24018195370768,15.417643668889841,4599.079149425082,5,22,10.439029567477498,2025-01-16 18:14:23.287103
65727.04960990787,64,63.726204760828516,15.294289142598846,4662.80535418591,5,21,10.355508273634634,2025-01-16 18:15:27.049610
65882.6055778838,62,62.70520184244394,15.049248442186546,4725.510556028354,5,20,10.18959529939714,2025-01-16 18:18:02.605578
65979.24670038323,28,62.53081793446992,15.007396304272781,4788.041373962824,5,19,10.161257914351363,2025-01-16 18:19:39.246700
66471.78775231626,48,62.04115744225368,14.889877786140882,4850.082531405077,5,18,10.081688084366222,2025-01-16 18:27:51.787752
66562.96191583938,73,62.47741756491844,14.994580215580426,4912.559948969995,5,17,10.152580354299246,2025-01-16 18:29:22.961916
66623.32743594323,43,62.241515696899384,14.937963767255853,4974.801464666894,5,16,10.11424630074615,2025-01-16 18:30:23.327436
66783.60458285002,82,62.56937534487599,15.01665008277024,5037.37084001177,5,15,10.16752349354235,2025-01-16 18:33:03.604583
66896.15245640239,7,63.67401083466348,15.281762600319235,5101.044850846434,5,14,10.347026760632815,2025-01-16 18:34:56.152456
67396.35191772704,55,64.2058448201929,15.409402756846296,5165.2506956666275,5,13,10.433449783281345,2025-01-16 18:43:16.351918
67469.01858705375,58,62.92060216766471,15.10094452023953,5228.171297834292,5,12,10.224597852245516,2025-01-16 18:44:29.018587
67536.14315891922,76,63.389980762222436,15.213595382933384,5291.561278596515,5,11,10.300871873861146,2025-01-16 18:45:36.143159
67726.81958812485,30,65.50104203297471,15.720250087913932,5357.0623206294895,5,10,10.64391933035839,2025-01-16 18:48:46.819588
67778.64869688037,57,61.284461144304466,14.708270674633072,5418.346781773794,5,9,9.958724935949476,2025-01-16 18:49:38.648697
68328.07407079094,84,64.70292729610506,15.528702551065216,5483.049709069899,5,8,10.514225685617072,2025-01-16 18:58:48.074071
68390.67147790742,90,64.003672975949,15.36088151422776,5547.053382045848,5,7,10.400596858591713,2025-01-16 18:59:50.671478
