trip_id,timestamp,origin_lat,origin_lon,origin_h3_cell,destination_lat,destination_lon,destination_h3_cell,distance_miles,surge_multiplier,fare,status,vehicle_id,pickup_distance,pickup_time_minutes
TRIP_000040,1021.2326170460037,41.077841,-81.554005,872ab3ac6ffffff,41.09925,-81.517899,872ab3af1ffffff,3.132496324285728,1.0,5.505997059428584,assigned,5.0,0.36893197446018205,0.8854367387044381
TRIP_000041,1037.3058553845112,41.061844,-81.467334,872ab3aeeffffff,41.0604739,-81.5287742,872ab3ac0ffffff,3.809439996312952,1.0,6.047551997050362,assigned,18.0,0.528309977328106,1.267943945587456
TRIP_000042,1055.3077159446252,41.094711,-81.497401,872ab3ae2ffffff,41.114392,-81.553168,872ab3af0ffffff,4.384952372614284,1.0,6.507961898091428,assigned,25.0,0.07341946752891801,0.17620672206940402
TRIP_000043,1080.1460051362267,41.072301,-81.5062837,872ab3ac4ffffff,41.061395,-81.482682,872ab3ac5ffffff,1.8277861317679232,1.0,4.462228905414339,assigned,28.0,0.113621459903883,0.27269150376932
TRIP_000044,1088.5559610571345,41.030254,-81.526961,872ab3ac3ffffff,41.024774,-81.543624,872ab3addffffff,1.6525821966751941,1.0,4.322065757340155,assigned,35.0,1.4862724826533291,3.56705395836799
TRIP_000045,1097.294425634269,41.061403,-81.492091,872ab3ac5ffffff,41.0835342,-81.5232284,872ab3af1ffffff,3.1637655833855782,1.0,5.5310124667084635,assigned,37.0,0.324999894171832,0.7799997460123981
TRIP_000046,1142.7472656559003,41.069919,-81.467635,872ab3aeeffffff,41.131041,-81.465404,872ab3a19ffffff,4.227877455347247,1.0,6.382301964277798,assigned,85.0,0.158180960020979,0.37963430405035103
TRIP_000047,1157.0103024109026,41.082093,-81.441661,872ab3ae1ffffff,41.063536,-81.492066,872ab3ac5ffffff,3.730851677707876,1.0,5.984681342166301,assigned,0.0,1.565216538007179,3.756519691217229
TRIP_000048,1164.8412830122843,41.026925,-81.446136,872ab3aebffffff,41.0644489,-81.5887756,872ab3ad0ffffff,9.978862137875192,1.0,10.983089710300153,requested,,,
TRIP_000049,1200.5887643436383,41.1332566,-81.464084,872ab3a19ffffff,41.0602595,-81.5286564,872ab3ac0ffffff,7.42485493855841,1.0,8.939883950846728,requested,,,
TRIP_000050,1222.1786666105324,41.085778,-81.551528,872ab3af3ffffff,41.072552,-81.497294,872ab3ac4ffffff,3.334886990732976,1.0,5.6679095925863825,assigned,3.0,1.487113984437022,3.5690735626488532
TRIP_000051,1230.1383579460175,41.09718,-81.5090731,872ab3ae2ffffff,41.024535,-81.451851,872ab3aebffffff,7.290595712626056,1.0,8.832476570100845,assigned,96.0,0.290238217799066,0.696571722717759
